symbol,levels,resistances,avg_vol_20d
CIEINDIA.NS,449.58;403.72,398.10;422.00;423.00;460.00;471.90;473.50;476.40;481.00;483.50;489.25;502.95;504.00,245853.7
CLEAN.NS,736.48;715.80;814.76,770.00;789.30;799.80;809.00;817.35;817.60;838.95;842.90;848.90;854.40;862.30;872.85;874.80;899.50,354305.35
COCHINSHIP.NS,1457.60;1411.50;1369.10,1422.80;1485.40;1523.60;1536.90;1551.00;1557.00;1571.80;1577.90;1780.00;1842.80,1026677.65
COFORGE.NS,1141.70;1394.40;1359.20;1428.90;1771.45,1229.90;1334.90;1387.80;1447.00;1523.60;1554.00;1569.00;1836.40;1893.60;2021.20,2293418.1
COHANCE.NS,417.22;440.93,406.50;442.35;444.30;444.75;448.00;456.30;470.00;473.70;474.70;476.50;482.25;484.00;486.30;505.00;514.90,1186288.4
COLPAL.NS,2061.30;2100.80;1973.35;1792.90,1897.60;1917.80;2086.60;2108.90;2126.40;2136.50;2190.10;2205.90;2213.40;2223.70,440142.3
CONCOR.NS,495.84;511.57;467.70,484.65;491.05;500.00;504.55;513.50;520.75;521.95;524.25;531.70;537.00;543.70,1143343.7
CONCORDBIO.NS,1016.20;1247.97;1419.25,1113.60;1180.00;1234.20;1273.00;1314.50;1365.60;1407.90;1469.60;1471.90;1529.00;1592.00;1615.00,159735.0
COROMANDEL.NS,1955.35;1794.90;1713.35;1897.58;1995.40,1915.50;1980.00;2019.90;2032.00;2036.20;2064.90;2081.00;2085.80;2102.90;2112.50;2129.90,101246.65
CPPLUS.NS,3256.67;3393.80,2365.00;2389.90;2563.90;2575.00;3566.00;3685.00;3714.40;3740.00;3758.20;3787.00;3866.00;3900.00;4094.00,264013.55
CRAFTSMAN.NS,9158.50;9000.50;10251.67,7800.00;7933.00;8919.00;9259.00;9300.00;9420.00;9528.00;9535.00;9738.00;9938.00;10762.00;10960.00;11442.00;11500.00;11999.00,64619.1
CREDITACC.NS,1222.05;1351.35;1460.30,1288.00;1326.60;1332.70;1438.00;1442.00;1468.00;1483.60;1540.90;1552.00;1566.90;1568.00;1608.10;1634.00,195628.25
CRISIL.NS,4419.10;4637.55,4077.00;4219.50;4250.00;4463.90;4540.00;4559.30;4662.00;4677.80;4872.00,54536.7
CROMPTON.NS,250.03;241.27,259.00;266.94;266.95;271.00;280.00;280.89;281.50;299.15;299.90;310.50,2324314.5
CUB.NS,194.78;180.51;217.76,193.95;206.25;208.50;211.88;218.60;220.13;225.85;231.82;234.40;238.95;245.38;248.85,2044337.95
CYIENT.NS,843.42;856.32;817.73,872.40;879.45;879.70;885.00;899.90;904.95;912.80;927.60;931.50;932.00;989.50;1107.20;1219.00,658146.9
DABUR.NS,439.70;417.15,431.45;438.00;438.75;455.00;455.75;456.00;465.00;490.50,2091637.9
DALBHARAT.NS,1677.08;1787.05,1744.50;1762.20;1765.30;1804.00;1814.40;1844.40;1859.80;1887.70;1913.00;1925.00;2004.40;2007.60,180570.85
DATAPATTNS.NS,3895.65;4397.95;4115.00,4189.90;4249.00;4250.00;4295.00;4303.00;4625.00;4712.40;4722.00;4831.70;4955.90;4999.90;5000.00,602816.85
DCMSHRIRAM.NS,984.33;1006.30,1008.90;1052.50;1065.00;1066.80;1070.00;1070.30;1085.60;1119.50;1128.70;1187.50;1224.80;1262.70;1325.00,56890.75
DEEPAKFERT.NS,1208.25;1264.05;1440.80,1292.50;1364.40;1474.60;1503.40;1508.00;1528.50;1592.90;1625.00;1642.00;1668.00;1680.00;1681.00,237920.6
DEEPAKNTR.NS,1684.35;1712.60;1635.60;1609.00;1543.40,1692.30;1704.90;1764.00;1780.00;1800.90;1809.30;1820.00;1851.00;1897.90,276951.3
DELHIVERY.NS,444.13;429.20;455.32,437.60;448.65;465.90;469.40;471.95;478.40;483.50;486.75;487.50;491.40;491.70;523.00;524.00,2054430.25
DEVYANI.NS,106.37;112.65;110.24;134.55,115.64;117.80;118.39;119.88;121.00;121.38;124.00;129.97;142.86;145.00;145.40;155.95,1529279.85
DIXON.NS,11750.50;13603.33;12923.00,11360.00;11440.00;11595.00;11674.00;11925.00;12930.00;14030.00;14445.00;14589.00;14685.00;15000.00,291779.2
DOMS.NS,2183.00;2061.45;2223.17,2239.60;2279.90;2291.40;2324.70;2355.00;2369.40;2381.80;2383.90;2403.00;2429.00;2435.00,40349.7
ECLERX.NS,1320.50;1734.00;1853.10,1472.00;1617.60;1621.00;1667.80;1714.00;1925.40;1994.60;2017.00;2025.00;2062.00,208320.65
EIDPARRY.NS,755.01;701.48,749.65;775.15;784.00;788.75;803.50;824.85;828.00;865.40;865.50;913.90,347804.65
EIHOTEL.NS,318.93;282.19,307.50;307.95;321.15;330.65;333.30;334.20;337.05;337.90;341.75;342.00;352.75,319919.0
ELECON.NS,470.93;513.67;404.30,448.15;452.00;457.00;459.30;524.45;550.00;553.85;576.00;579.00,2137543.2
ELGIEQUIP.NS,597.77;566.80,567.90;571.80;574.70;574.95;599.70;607.00;618.70;628.45;631.70;633.85;641.40;644.00;653.40,433835.4
EMAMILTD.NS,443.80;393.78,377.65;396.45;404.80;413.00;413.50;416.20;418.80;419.60;428.75;435.00;438.00;477.00,2444677.15
EMCURE.NS,1673.00;1840.17;1902.05,1688.00;1757.90;1818.00;1830.00;1863.40;1940.00;1944.00;2048.00;2100.70,204641.9
EMMVEE.NS,324.40;314.78,284.90;288.00;299.50;334.70;337.90;339.60;341.40;344.70;349.70;352.00;354.80;369.80;371.55,2347591.55
ENDURANCE.NS,2314.07;2471.05;2563.87,2477.00;2674.00;2693.00;2745.00;2765.00;2780.00;2789.00;2799.00;2811.50;2823.00;3043.00;3072.00,80024.35
ENGINERSIN.NS,236.89;233.78;220.16,229.95;241.00;243.85;246.66;253.40;257.30;258.55;264.60;265.00;267.00;289.65,7696193.65
ERIS.NS,1321.72;1347.50;1386.57;1273.95,1349.90;1362.00;1410.00;1413.00;1419.50;1441.90;1465.00;1478.00;1488.00;1499.00;1530.00,53895.1
ESCORTS.NS,3195.25;2904.37;2703.90;2778.50;3042.40,2832.40;2903.70;2997.80;3014.70;3022.00;3030.00;3036.00;3037.00;3042.70;3105.00;3138.00;3158.50;3173.10;3377.90;3382.00;3408.00,56627.5
EXIDEIND.NS,339.18;379.03;407.40,360.45;379.90;399.45;409.80;410.50;431.00;444.70;452.80;457.90;461.40;496.40,2036879.0
FACT.NS,886.62;847.91,822.35;823.30;851.40;892.00;897.00;910.95;920.00;929.00;933.90;938.40;951.70;1058.60,183547.15
FEDERALBNK.NS,281.73;321.53;350.81;340.40,298.45;299.05;301.70;327.00;334.30;336.50;346.00;347.05;356.95;364.20;371.70,4793450.55
FINCABLES.NS,965.61,1060.00;1065.00;1076.00;1172.80;1184.80;1193.30;1203.90;1315.00;1339.30;1374.00;1498.00,1256971.45
FIRSTCRY.NS,211.68;203.61,183.00;189.75;216.60;217.95;222.30;222.50;234.00;235.02;237.95;245.00;246.40;269.40,7211355.2
FIVESTAR.NS,477.52;442.25;414.45;530.58,448.00;469.30;527.85;527.95;540.00;558.00;558.80;562.90;565.00;573.60;575.60,604022.75
FLUOROCHEM.NS,3552.60;3822.30;4373.20;4446.85,3412.10;3702.00;3874.90;3878.00;3920.50;3948.00;4038.00;4649.00;4653.20;4829.90;4850.00;4887.90;4958.90,131986.95
FORCEMOT.NS,18807.50;17017.33;17698.25;17267.67,17882.00;18069.00;18339.00;18724.00;18860.00;18886.00;18971.00;19200.00;19448.00;19604.00;20850.00;21100.00;21180.00;21460.00,67011.2
FORTIS.NS,903.68;942.52;892.90,908.80;918.40;941.90;964.50;978.70;979.60;982.95;987.45;988.25;992.70;996.55;1010.10,960729.65
FSL.NS,226.15;260.03;234.65,249.30;250.77;254.68;272.00;273.85;274.01;274.80;278.70;280.85;282.05;292.00;341.90,2472550.35
GABRIEL.NS,971.30;1325.60,1048.70;1149.80;1154.00;1285.00;1292.30;1383.50;1467.90;1495.00;1519.90;1600.00,698527.95
GALLANTT.NS,821.48;649.57,597.45;599.00;644.00;709.80;715.00;727.00;749.00;895.55;904.25;938.00;948.00,93849.8
GESHIP.NS,1403.80;1350.18,1380.00;1426.90;1449.00;1459.00;1477.30;1536.00;1598.90;1600.00;1618.90;1798.00,783491.95
GICRE.NS,391.52;379.10;345.71;355.63,353.25;361.80;362.45;363.10;364.50;370.75;375.20;394.00;394.80;402.00;414.00;417.95,1004668.45
GILLETTE.NS,7635.83;7264.00,7348.50;7460.00;7564.00;7776.00;7945.00;7971.00;8014.50;8100.00;8195.00;8277.00;8433.50,18643.05
GLAND.NS,2181.90;2790.50,1832.00;1953.70;2356.50;2395.00;2396.00;2528.30;2564.80;2573.50;2634.30;3008.00;3039.80;3042.00,579511.3
GLAXO.NS,2383.55,2216.00;2404.80;2504.70;2520.00;2527.00;2529.90;2684.00;3054.90;3075.00;3120.70,70918.2
GLENMARK.NS,2207.95;2244.50;2149.18,2234.90;2252.50;2270.20;2274.90;2326.10;2341.60;2400.70;2427.00;2440.00;2474.00;2492.00;2537.60,446538.1
GMDCLTD.NS,582.65;552.64,565.95;579.70;586.55;601.00;617.15;621.40;631.90;708.20;754.30;771.90,897355.7
GMRAIRPORT.NS,93.55;92.15;98.55;105.96;109.75,98.50;98.73;101.28;101.79;104.00;104.14;107.89;111.15;112.40;114.65;114.99;115.64,13091935.3
GODFRYPHLP.NS,2074.88;2175.05,2163.90;2172.00;2248.20;2267.00;2297.80;2319.00;2336.90;2348.40;2410.00;2484.70;2491.70,148276.85
GODIGIT.NS,301.20;293.90;250.38,261.45;265.10;265.55;288.80;290.90;304.90;316.00;316.95;320.90;322.95;326.95;327.80;332.95;333.90,628409.45
GODREJIND.NS,1072.30,1043.40;1172.00;1199.95;1215.90;1220.00;1250.00;1260.65;1352.90;1372.90;1398.80;1443.00,100135.05
GODREJPROP.NS,1645.95;1975.07,1732.00;1739.00;1834.80;1849.00;1951.90;2056.70;2057.00;2095.00;2143.90;2168.30;2168.90;2180.00,672531.4
GPIL.NS,279.30;273.15;238.90;230.03,248.05;251.89;253.00;255.00;256.00;257.10;278.45;284.00;292.50;309.75;310.50;312.75;320.00,1431122.7
GRANULES.NS,822.17,730.80;761.40;773.20;797.90;803.90;804.30;868.20;868.80;882.00;883.00;910.00;923.65,1444890.5
GRAPHITE.NS,697.33;619.60,645.00;665.90;687.50;744.80;748.50;755.50;757.00;760.00;764.70;772.90;802.40;874.35,4016133.9
GRAVITA.NS,1557.70;1604.32,1659.90;1709.90;1724.00;1748.20;1784.60;1838.90;1844.70;1846.30;1858.50;1870.00,184166.2
GROWW.NS,192.16;181.28;185.02;189.18,193.68;198.04;203.70;205.21;208.17;208.49;220.98;224.40;227.20,39764239.1
GRSE.NS,2549.03;2479.35,2459.20;2568.90;2644.50;2665.00;2677.10;2706.00;2723.70;2751.90;2809.70;2934.70;3130.00;3339.00,297933.0
GVT&D.NS,4366.50;4207.15;4038.00,4452.00;4539.00;4549.00;4602.90;4694.00;4730.00;4738.80;4825.00;4849.00;4962.40;5148.50;5222.10;5650.00,794272.75
HAVELLS.NS,1232.00;1168.95;1129.80,1132.40;1196.00;1200.90;1209.10;1218.20;1219.40;1234.00;1276.70;1290.30;1299.10;1301.50;1315.00;1410.70,762762.5
HBLENGINE.NS,783.82;735.42;688.60,727.05;745.00;772.80;811.90;829.85;832.50;836.00;844.90;875.00,2409359.5
HDBFS.NS,654.15;671.78,680.70;683.95;694.10;697.00;699.20;701.55;705.00;712.10;723.95;759.80;786.55,463386.3
HEG.NS,579.12;508.33,248.90;552.00;552.90;616.00;637.50;675.90;685.70;690.00;698.00;749.00;753.90,1822868.45
HEROMOTOCO.NS,5154.17;4918.38;4753.85,4980.00;5024.00;5044.00;5073.40;5140.00;5198.30;5458.50;5659.00;5937.00,534210.25
HEXT.NS,470.98;495.47;531.10;550.65,506.00;507.00;520.70;528.00;552.50;563.75;565.85;578.00;578.90;584.50;622.80,306577.35
HFCL.NS,202.33;205.60,155.30;208.98;219.96;220.09;224.81;228.00;229.40;229.50;230.95;255.16;256.70,7366049.75
