Rank,Stock,Price,Support,SupportGap,VolumeX,RSI,Score,Entry,SL,T1,T2,T3,Donchian,BreakoutGap,Reason
132,ACC,1266.6,1270.0,-0.27,1.15,33.9,50,1274.74,1244.6,1304.89,1335.03,1365.18,1413.9,11.63,"Very close to support, Support rejection"
133,RAMCOCEM,864.35,869.0,-0.54,0.3,37.0,50,880.01,851.62,908.39,936.78,965.17,989.3,14.46,"Very close to support, Support rejection"
134,SWANCORP,285.4,285.3,0.04,0.56,26.5,50,288.28,279.59,296.96,305.64,314.32,316.65,10.95,"Very close to support, Support rejection"
135,NATCOPHARM,843.25,835.5,0.93,0.95,32.5,50,859.06,818.79,899.34,939.61,979.89,964.85,14.42,"Very close to support, Support rejection"
136,MMTC,62.1,61.55,0.89,0.2,41.4,50,62.57,60.32,64.83,67.09,69.34,67.58,8.82,"Very close to support, Support rejection"
137,DALBHARAT,1773.1,1780.1,-0.39,0.19,40.4,50,1805.6,1744.5,1866.71,1927.82,1988.92,1925.0,8.57,"Very close to support, Support rejection"
138,ICICIGI,1537.0,1540.0,-0.19,0.64,28.1,50,1557.51,1509.2,1605.82,1654.13,1702.44,1771.0,15.22,"Very close to support, Support rejection"
139,MRF,131880.0,129570.0,1.78,0.97,46.9,50,133130.73,126978.6,139282.86,145434.99,151587.12,135800.0,2.97,"Very close to support, Support rejection"
140,LINDEINDIA,6352.5,6332.0,0.32,0.76,30.2,50,6458.89,6205.36,6712.42,6965.96,7219.49,7225.5,13.74,"Very close to support, Support rejection"
141,COROMANDEL,1914.6,1890.0,1.3,0.71,35.6,50,1933.36,1852.2,2014.52,2095.68,2176.84,2129.4,11.22,"Very close to support, Support rejection"
142,ABBOTINDIA,26045.0,25710.0,1.3,0.81,37.0,50,26317.53,25195.8,27439.26,28560.99,29682.72,28635.0,9.94,"Very close to support, Support rejection"
143,RVNL,206.0,208.0,-0.96,0.93,27.1,50,207.41,203.84,210.99,214.56,218.14,236.76,14.93,"Very close to support, Support rejection"
144,SCHAEFFLER,3967.1,3961.1,0.15,0.76,39.1,50,4022.03,3881.88,4162.18,4302.33,4442.48,4210.0,6.12,"Very close to support, Support rejection"
145,TIINDIA,2720.0,2685.0,1.3,0.61,38.2,50,2753.8,2631.3,2876.29,2998.79,3121.29,2989.0,9.89,"Very close to support, Support rejection"
146,TATAINVEST,628.1,631.5,-0.54,0.3,32.1,50,634.72,618.87,650.56,666.41,682.26,714.8,13.8,"Very close to support, Support rejection"
147,BAYERCROP,3979.5,3940.0,1.0,0.82,33.9,50,4002.89,3861.2,4144.58,4286.27,4427.96,4338.9,9.03,"Very close to support, Support rejection"
148,DOMS,2206.3,2182.0,1.11,0.86,44.2,50,2231.35,2138.36,2324.35,2417.34,2510.33,2284.2,3.53,"Very close to support, Support rejection"
149,SOBHA,1230.1,1232.0,-0.15,0.87,26.8,50,1252.4,1207.36,1297.44,1342.48,1387.52,1390.0,13.0,"Very close to support, Support rejection"
150,TENNIND,519.8,519.85,-0.01,0.52,36.0,50,527.4,509.45,545.35,563.3,581.25,584.9,12.52,"Very close to support, Support rejection"
151,SIGNATURE,765.3,755.4,1.31,0.85,39.6,50,774.65,740.29,809.0,843.35,877.71,835.9,9.23,"Very close to support, Support rejection"
