Symbol,CMP,Return3M%,Return6M%,Return9M%,Volatility3M,MomentumScore,Rank
OPTIEMUS,550.0,31.3,31.3,-6.13,3.09,6.089,212
ANANTRAJ,629.85,25.02,15.41,1.79,2.34,6.02,213
AEGISVOPAK,271.85,30.49,26.55,4.8,3.44,5.989,214
KIRLPNU,741.2,-10.69,33.08,31.0,3.0,5.929,215
MANYAVAR,547.1,31.7,25.52,-12.63,2.51,5.919,216
ZFCVINDIA,2658.2,6.38,2.52,23.04,1.81,5.893,217
EDELWEISS,132.08,16.9,8.15,16.35,2.36,5.855,218
KPRMILL,1152.1,22.34,26.04,2.72,2.92,5.833,219
DYNAMATECH,11714.0,3.61,15.79,22.95,2.46,5.726,220
VIYASH,269.8,4.83,25.07,12.59,2.49,5.691,221
TIPSMUSIC,650.1,1.13,17.68,31.28,3.0,5.557,222
PARADEEP,150.5,17.91,26.6,-5.56,2.39,5.435,223
PICCADIL,702.9,17.47,17.48,12.12,2.9,5.413,224
CHOICEIN,811.55,19.92,6.25,2.79,1.8,5.363,225
M&MFIN,380.6,27.06,-0.99,17.87,2.75,5.334,226
SOUTHBANK,45.25,10.37,10.45,10.15,1.94,5.329,227
POONAWALLA,495.5,24.22,1.04,5.74,1.99,5.197,228
WESTLIFE,588.15,25.94,14.02,8.29,3.11,5.166,229
HONAUT,36530.0,6.18,16.43,3.05,1.67,5.132,230
DEVYANI,146.21,25.62,9.87,-0.75,2.26,5.114,231
PHOENIXLTD,1924.2,7.48,8.5,10.82,1.75,5.107,232
JAYNECOIND,97.47,-6.94,17.33,29.84,2.66,5.048,233
MIDHANI,426.6,2.4,16.88,21.37,2.71,4.991,234
360ONE,1207.5,5.7,7.12,12.01,1.7,4.866,235
METROPOLIS,544.0,3.72,12.86,12.03,1.96,4.861,236
AFFLE,1720.3,17.17,13.21,2.0,2.23,4.842,237
IKS,1777.0,12.05,8.33,9.68,2.1,4.766,238
SHAREINDIA,174.17,23.03,21.53,3.49,3.39,4.725,239
PGEL,606.3,29.84,-0.08,2.67,2.3,4.709,240
SAIL,174.87,-14.21,12.24,26.54,1.75,4.693,241
ZEEL,107.44,29.79,15.9,9.22,3.91,4.686,242
OLECTRA,1328.9,9.04,29.17,-4.22,2.44,4.645,243
GVT&D,4204.1,-13.29,18.57,36.98,3.06,4.61,244
JKPAPER,396.1,0.81,16.81,6.15,1.76,4.505,245
ETHOSLTD,2853.0,17.49,16.02,0.51,2.52,4.499,246
ZYDUSWELL,495.4,2.98,23.76,8.6,2.63,4.479,247
SAPPHIRE,244.61,32.28,11.34,-7.05,2.74,4.452,248
IFBIND,1411.0,34.1,19.16,-19.67,2.54,4.417,249
KRBL,404.75,17.73,13.47,-4.79,2.01,4.376,250
NIACL,184.32,13.25,22.26,3.74,3.14,4.165,251
TANLA,575.35,8.6,25.64,-3.8,2.48,4.093,252
GRAPHITE,723.45,-3.34,4.32,27.24,2.31,4.079,253
CCL,1094.5,2.88,10.44,7.85,1.73,4.076,254
LTF,319.4,14.34,6.38,7.31,2.3,4.057,255
CUB,219.67,15.27,2.93,10.34,2.37,4.018,256
MANKIND,2374.5,-3.38,15.1,6.63,1.54,3.985,257
GRAVITA,1800.7,8.61,11.19,5.77,2.16,3.945,258
SMARTWORKS,518.9,15.02,17.16,-9.75,1.9,3.94,259
BRIGADE,632.2,25.9,13.87,-8.89,2.63,3.909,260
POLYMED,1740.2,8.88,31.64,-8.38,2.77,3.876,261
SFL,669.5,4.86,14.82,7.71,2.4,3.803,262
COHANCE,462.75,6.42,42.01,-20.52,2.45,3.797,263
LXCHEM,174.14,14.66,23.08,-5.03,2.89,3.773,264
SCI,292.2,-5.15,11.82,17.42,2.14,3.758,265
KSB,798.0,-1.65,11.84,10.63,1.86,3.724,266
JSWENERGY,550.25,-1.22,13.16,7.13,1.71,3.723,267
FEDFINA,157.83,1.82,14.71,8.86,2.37,3.574,268
AARTIPHARM,811.0,10.72,12.34,14.5,3.5,3.574,269
LOTUSDEV,166.0,17.58,13.72,-1.86,2.8,3.505,270
LTFOODS,433.95,5.73,5.06,6.3,1.63,3.493,271
JBMA,657.25,3.03,12.76,5.17,2.04,3.426,272
SPLPETRO,696.4,0.65,10.43,8.63,1.98,3.315,273
BLACKBUCK,630.0,25.95,2.27,-8.62,1.98,3.301,274
BEML,1958.5,6.17,13.81,-0.37,1.99,3.292,275
TRAVELFOOD,1308.5,13.53,7.48,-1.04,2.05,3.25,276
DCBBANK,201.1,10.9,2.43,7.4,2.15,3.21,277
CERA,5874.0,2.53,12.6,3.42,1.95,3.177,278
PNGJL,609.0,15.33,7.12,-4.84,1.85,3.176,279
ELLEN,324.15,22.16,31.9,-23.2,3.25,3.165,280
ARE&M,928.05,13.09,9.93,-2.93,2.16,3.104,281
NMDC,84.72,-6.56,6.94,13.78,1.53,3.078,282
NIVABUPA,82.01,-2.32,7.2,5.94,1.17,3.073,283
OLAELEC,37.78,0.53,37.33,-9.79,3.08,3.04,284
INDIGOPNTS,1141.1,13.72,16.68,-13.94,1.82,3.008,285
IIFLCAPS,336.3,-1.82,0.45,6.19,0.54,2.983,286
POLICYBZR,1786.7,-0.27,18.95,-0.76,2.02,2.963,287
GODREJPROP,2034.7,15.13,7.94,-4.49,2.11,2.939,288
ATGL,648.3,-9.09,24.2,6.44,2.49,2.888,289
FIVESTAR,528.0,15.76,18.51,-15.38,2.2,2.861,290
TITAGARH,851.5,4.28,13.49,-1.7,1.99,2.691,291
HEROMOTOCO,5669.0,13.86,1.38,-3.53,1.46,2.664,292
UNOMINDA,1260.6,12.7,4.29,-3.41,1.78,2.541,293
HOMEFIRST,1205.0,13.32,3.07,-2.06,2.11,2.267,294
BALUFORGE,556.45,19.23,10.56,-11.58,2.84,2.14,295
PRESTIGE,1610.9,14.95,5.35,-6.2,2.27,2.066,296
JUSTDIAL,673.15,29.41,6.12,-13.4,3.69,1.999,297
POWERMECH,2466.9,-3.15,13.24,1.99,2.04,1.975,298
ABDL,597.5,9.65,14.64,-9.57,2.51,1.959,299
YESBANK,22.77,-0.26,8.64,0.62,1.53,1.954,300
SUPRIYA,801.25,3.51,19.65,1.77,4.35,1.91,301
PETRONET,292.4,4.35,-3.11,6.58,1.39,1.876,302
AIIL,545.6,8.5,8.91,0.07,3.15,1.852,303
JUBLINGREA,713.45,-1.96,12.77,1.03,2.14,1.842,304
GMMPFAUDLR,1022.25,26.83,4.13,-17.43,2.47,1.828,305
GREAVESCOT,193.85,6.8,18.3,-6.7,3.41,1.797,306
LGEINDIA,1631.8,7.54,5.42,-3.09,1.85,1.776,307
AGARWALEYE,496.6,3.52,9.62,-3.89,1.81,1.703,308
ASHOKLEY,173.59,8.13,-14.69,18.7,2.43,1.664,309
EIEL,197.9,5.85,21.28,-11.39,3.23,1.626,310
LINDEINDIA,6705.5,-7.15,-1.66,16.8,1.65,1.617,311
DELHIVERY,451.95,-2.49,5.62,6.09,1.93,1.594,312
DATAMATICS,826.1,5.26,11.85,-7.73,2.0,1.558,313
CLEAN,827.8,9.4,11.09,-11.18,2.04,1.523,314
REFEX,293.5,3.29,24.11,-14.85,2.86,1.463,315
